"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.133 0.1399 0.1558 0.1689 0.1703 0 0 0 0 0 0 0
"3" 0.5 0.1609 0.1631 0.1867 0.2037 0.1933 0 0 0 0 0 0 0
"4" 0.75 0.1945 0.1901 0.2237 0.2457 0.2195 0 0 0 0 0 0 0
"5" 1 0.2352 0.2216 0.268 0.2963 0.2491 0 0 0 0 0 0 0
"6" 1.25 0.2844 0.2584 0.3212 0.3574 0.2828 0 0 0 0 0 0 0
"7" 1.5 0.3439 0.3012 0.3848 0.431 0.321 0 0 0 0 0 0 0
"8" 1.75 0.4158 0.3511 0.4611 0.5198 0.3644 0 0 0 0 0 0 0
"9" 2 0.5027 0.4092 0.5524 0.6268 0.4136 0 0 0 0 0 0 0
"10" 2.25 0.6077 0.4769 0.6618 0.7558 0.4694 0 0 0 0 0 0 0
"11" 2.5 0.7346 0.5559 0.7928 0.9112 0.5327 0 0 0 0 0 0 0
"12" 2.75 0.8879 0.6478 0.9497 1.0983 0.6044 0 0 0 0 0 0 0
"13" 3 1.0731 0.7549 1.1376 1.3238 0.6858 0 0 0 0 0 0 0
"14" 3.25 1.2967 0.8796 1.3624 1.5952 0.7781 0 0 0 0 0 0 0
"15" 3.5 1.5666 1.0247 1.6315 1.9219 0.8826 0 0 0 0 0 0 0
"16" 3.75 1.8923 1.1936 1.9534 2.3149 1.001 0 0 0 0 0 0 0
"17" 4 2.2851 1.3902 2.3383 2.7872 1.135 0 0 0 0 0 0 0
"18" 4.25 2.7585 1.6187 2.7985 3.3547 1.2866 0 0 0 0 0 0 0
"19" 4.5 3.3288 1.8843 3.3484 4.0357 1.458 0 0 0 0 0 0 0
"20" 4.75 4.015 2.1927 4.0049 4.852 1.6516 0 0 0 0 0 0 0
"21" 5 4.8397 2.5505 4.788 5.829 1.8699 0 0 0 0 0 0 0
"22" 5.25 5.8294 2.9652 5.721 6.996 2.1157 0 0 0 0 0 0 0
"23" 5.5 7.0146 3.4449 6.831 8.3865 2.3919 0 0 0 0 0 0 0
"24" 5.75 8.43 3.9987 8.1488 10.0375 2.7013 0 0 0 0 0 0 0
"25" 6 10.114 4.636 9.7089 11.9883 3.0463 0 0 0 0 0 0 0
"26" 6.25 12.1066 5.3662 11.5482 14.2776 3.4289 0 0 0 0 0 0 0
"27" 6.5 14.4448 6.1972 13.7031 16.9365 3.8491 0 0 0 0 0 0 0
"28" 6.75 17.1524 7.1326 16.2024 19.974 4.3037 0 0 0 0 0 0 0
"29" 7 20.2153 8.1652 19.0496 23.3448 4.7823 0 0 0 0 0 0 0
"30" 7.25 23.5233 9.2608 22.1782 26.8784 5.2592 0 0 0 0 0 0 0
"31" 7.5 26.7326 10.3185 25.3358 30.1299 5.675 0 0 0 0 0 0 0
"32" 7.75 29.0888 11.1082 27.8788 32.2602 5.9208 0 0 0 0 0 0 0
"33" 8 30.045 11.4385 29.1873 32.8406 5.9421 0 0 0 0 0 0 0
"34" 8.25 30.2596 11.5123 29.7658 32.678 5.8562 0 0 0 0 0 0 0
"35" 8.5 30.3154 11.5296 30.1827 32.3663 5.75 0 0 0 0 0 0 0
"36" 8.75 30.346 11.538 30.5775 32.0344 5.6424 0 0 0 0 0 0 0
"37" 9 30.3711 11.5444 30.9714 31.7008 5.5361 0 0 0 0 0 0 0
"38" 9.25 30.3933 11.5497 31.367 31.3682 5.4314 0 0 0 0 0 0 0
"39" 9.5 30.413 11.5542 31.7648 31.0368 5.3284 0 0 0 0 0 0 0
"40" 9.75 30.4303 11.5578 32.1648 30.7067 5.227 0 0 0 0 0 0 0
"41" 10 30.4451 11.5605 32.567 30.3781 5.1273 0 0 0 0 0 0 0
"42" 10.25 30.4575 11.5623 32.9712 30.0508 5.0292 0 0 0 0 0 0 0
"43" 10.5 30.4674 11.5633 33.3776 29.7251 4.9327 0 0 0 0 0 0 0
"44" 10.75 30.4749 11.5634 33.786 29.4008 4.8378 0 0 0 0 0 0 0
"45" 11 30.48 11.5626 34.1964 29.078 4.7445 0 0 0 0 0 0 0
"46" 11.25 30.4827 11.5609 34.6088 28.7568 4.6526 0 0 0 0 0 0 0
"47" 11.5 30.4829 11.5584 35.0231 28.4372 4.5623 0 0 0 0 0 0 0
"48" 11.75 30.4808 11.5551 35.4392 28.1192 4.4735 0 0 0 0 0 0 0
"49" 12 30.4762 11.5508 35.8573 27.8029 4.3862 0 0 0 0 0 0 0
"50" 12.25 30.4692 11.5457 36.2771 27.4883 4.3004 0 0 0 0 0 0 0
"51" 12.5 30.4599 11.5398 36.6987 27.1753 4.216 0 0 0 0 0 0 0
"52" 12.75 30.4482 11.533 37.122 26.8642 4.133 0 0 0 0 0 0 0
"53" 13 30.4341 11.5254 37.547 26.5548 4.0515 0 0 0 0 0 0 0
"54" 13.25 30.4177 11.517 37.9736 26.2472 3.9713 0 0 0 0 0 0 0
"55" 13.5 30.399 11.5077 38.4018 25.9414 3.8925 0 0 0 0 0 0 0
"56" 13.75 30.3779 11.4976 38.8316 25.6375 3.8151 0 0 0 0 0 0 0
"57" 14 30.3546 11.4867 39.2628 25.3355 3.739 0 0 0 0 0 0 0
"58" 14.25 30.3289 11.475 39.6956 25.0354 3.6642 0 0 0 0 0 0 0
"59" 14.5 30.301 11.4624 40.1297 24.7372 3.5908 0 0 0 0 0 0 0
"60" 14.75 30.2708 11.4491 40.5652 24.441 3.5186 0 0 0 0 0 0 0
"61" 15 30.2384 11.4349 41.0021 24.1468 3.4477 0 0 0 0 0 0 0
"62" 15.25 30.2037 11.42 41.4403 23.8545 3.378 0 0 0 0 0 0 0
"63" 15.5 30.1668 11.4043 41.8797 23.5643 3.3096 0 0 0 0 0 0 0
"64" 15.75 30.1278 11.3878 42.3203 23.2761 3.2424 0 0 0 0 0 0 0
"65" 16 30.0866 11.3706 42.762 22.99 3.1763 0 0 0 0 0 0 0
"66" 16.25 30.0432 11.3525 43.2049 22.7059 3.1115 0 0 0 0 0 0 0
"67" 16.5 29.9977 11.3338 43.6489 22.4239 3.0479 0 0 0 0 0 0 0
"68" 16.75 29.9501 11.3143 44.0938 22.1441 2.9853 0 0 0 0 0 0 0
"69" 17 29.9004 11.294 44.5398 21.8663 2.924 0 0 0 0 0 0 0
"70" 17.25 29.8486 11.273 44.9867 21.5908 2.8637 0 0 0 0 0 0 0
"71" 17.5 29.7948 11.2513 45.4345 21.3173 2.8045 0 0 0 0 0 0 0
"72" 17.75 29.7389 11.2289 45.8831 21.046 2.7465 0 0 0 0 0 0 0
"73" 18 29.6811 11.2057 46.3325 20.7769 2.6894 0 0 0 0 0 0 0
"74" 18.25 29.6213 11.1819 46.7827 20.51 2.6335 0 0 0 0 0 0 0
"75" 18.5 29.5595 11.1574 47.2336 20.2453 2.5786 0 0 0 0 0 0 0
"76" 18.75 29.4958 11.1322 47.6852 19.9828 2.5247 0 0 0 0 0 0 0
"77" 19 29.4302 11.1063 48.1374 19.7226 2.4718 0 0 0 0 0 0 0
"78" 19.25 29.3656 11.0539 48.5363 19.4697 2.4204 0 0 0 0 0 0 0
"79" 19.5 29.2688 10.9764 48.8198 19.2603 2.3741 0 0 0 0 0 0 0
"80" 19.75 29.1497 10.8918 49.0637 19.1117 2.3345 0 0 0 0 0 0 0
"81" 20 29.015 10.8024 49.2794 19.0212 2.3012 0 0 0 0 0 0 0
"82" 20.25 28.8668 10.7089 49.4695 18.9848 2.2735 0 0 0 0 0 0 0
"83" 20.5 28.7062 10.6119 49.6358 18.999 2.251 0 0 0 0 0 0 0
"84" 20.75 28.5344 10.5116 49.7795 19.0608 2.2332 0 0 0 0 0 0 0
"85" 21 28.3522 10.4085 49.9017 19.1678 2.2196 0 0 0 0 0 0 0
"86" 21.25 28.1604 10.3028 50.0034 19.318 2.2101 0 0 0 0 0 0 0
"87" 21.5 27.9596 10.1948 50.0852 19.5097 2.2042 0 0 0 0 0 0 0
"88" 21.75 27.7505 10.0846 50.1478 19.7414 2.2016 0 0 0 0 0 0 0
"89" 22 27.5337 9.9726 50.1922 20.0122 2.1995 0 0 0 0 0 0 0
"90" 22.25 27.3102 9.8591 50.2195 20.3214 2.1967 0 0 0 0 0 0 0
"91" 22.5 27.081 9.7444 50.2319 20.6577 2.1933 0 0 0 0 0 0 0
"92" 22.75 26.8509 9.6301 50.2383 20.998 2.1896 0 0 0 0 0 0 0
"93" 23 26.6212 9.5166 50.2415 21.3423 2.1859 0 0 0 0 0 0 0
"94" 23.25 26.392 9.404 50.2416 21.6907 2.182 0 0 0 0 0 0 0
"95" 23.5 26.1633 9.2923 50.2387 22.0431 2.178 0 0 0 0 0 0 0
"96" 23.75 25.9351 9.1814 50.2327 22.3997 2.1739 0 0 0 0 0 0 0
"97" 24 25.7075 9.0714 50.2237 22.7604 2.1697 0 0 0 0 0 0 0
"98" 24.25 25.4805 8.9623 50.2115 23.1252 2.1654 0 0 0 0 0 0 0
"99" 24.5 25.254 8.854 50.1963 23.4941 2.1609 0 0 0 0 0 0 0
"100" 24.75 25.0282 8.7465 50.1779 23.8671 2.1564 0 0 0 0 0 0 0
