"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1292 0.1474 0.1572 0.1665 0.1765 0.1872 0.2093 0.2159 0.2299 0.2457 0.2493 0.2583 5.9501 9.9429 13.9316 3.9733 8.9586
"3" 0.5 0.1518 0.1809 0.19 0.1979 0.2077 0.2189 0.2576 0.2589 0.2782 0.3017 0.2959 0.3031 5.8933 9.8777 13.8533 3.9431 8.911
"4" 0.75 0.1783 0.2221 0.2298 0.2352 0.2443 0.256 0.3171 0.3104 0.3365 0.3705 0.3512 0.3557 5.828 9.8026 13.763 3.9084 8.8558
"5" 1 0.2094 0.2727 0.2777 0.2795 0.2873 0.2993 0.3902 0.3721 0.407 0.4548 0.4168 0.4174 5.7524 9.7154 13.6579 3.8683 8.7912
"6" 1.25 0.2458 0.3346 0.3356 0.332 0.3379 0.35 0.4802 0.446 0.4922 0.5583 0.4945 0.4896 5.6642 9.6135 13.5348 3.8218 8.7152
"7" 1.5 0.2885 0.4106 0.4056 0.3943 0.3972 0.4091 0.5909 0.5343 0.5951 0.685 0.5866 0.5741 5.5609 9.4937 13.3897 3.7674 8.625
"8" 1.75 0.3386 0.5037 0.49 0.4682 0.4668 0.4781 0.7269 0.6399 0.7193 0.8403 0.6955 0.673 5.4391 9.3522 13.218 3.7035 8.5178
"9" 2 0.3973 0.6177 0.5918 0.5556 0.5485 0.5585 0.894 0.7661 0.8692 1.0303 0.8244 0.7886 5.2953 9.1845 13.0141 3.6283 8.3899
"10" 2.25 0.4659 0.7572 0.7145 0.659 0.6441 0.6522 1.0993 0.9165 1.0498 1.2626 0.9768 0.9236 5.1249 8.9854 12.7713 3.5394 8.2367
"11" 2.5 0.5461 0.9278 0.8623 0.7812 0.756 0.7611 1.3513 1.0958 1.2674 1.5464 1.1566 1.081 4.9226 8.7485 12.4818 3.4343 8.0531
"12" 2.75 0.6398 1.1362 1.0402 0.9253 0.8867 0.8876 1.6605 1.3089 1.5292 1.8926 1.3685 1.2643 4.6825 8.4663 12.1363 3.3099 7.8328
"13" 3 0.7489 1.3902 1.2539 1.0949 1.0392 1.0341 2.0393 1.5617 1.8436 2.3138 1.6176 1.4772 4.3973 8.1301 11.7239 3.1626 7.5685
"14" 3.25 0.8758 1.6986 1.5104 1.2939 1.2166 1.2032 2.503 1.8603 2.2204 2.8254 1.9097 1.7237 4.059 7.73 11.232 2.9883 7.2514
"15" 3.5 1.023 2.0715 1.8167 1.5265 1.4222 1.3974 3.0696 2.2112 2.6707 3.4442 2.2504 2.0081 3.6587 7.2547 10.6467 2.7826 6.872
"16" 3.75 1.1924 2.5196 2.1802 1.7969 1.6594 1.6188 3.7602 2.6202 3.2068 4.1893 2.6451 2.3341 3.187 6.6922 9.953 2.541 6.4193
"17" 4 1.3847 3.0523 2.6074 2.1086 1.931 1.8681 4.5995 3.0904 3.841 5.0799 3.097 2.7048 2.6356 6.0308 9.1365 2.2592 5.8825
"18" 4.25 1.5979 3.6729 3.1007 2.4635 2.2385 2.142 5.6137 3.6173 4.5845 6.1328 3.603 3.1208 2.0002 5.2623 8.1873 1.9353 5.2524
"19" 4.5 1.8224 4.3642 3.6476 2.8594 2.5806 2.4272 6.7997 4.1751 5.4433 7.3558 4.142 3.5778 1.2922 4.3965 7.1183 1.5759 4.5344
"20" 4.75 2.024 5.0359 4.1822 3.2796 2.9388 2.6783 8.0634 4.6716 6.4101 8.7364 4.6339 4.045 0.5726 3.502 6.0135 1.2155 3.7804
"21" 5 2.1024 5.376 4.4645 3.536 3.1524 2.7679 8.9274 4.8561 7.1896 9.885 4.838 4.2928 0.1235 2.9291 5.2976 1.0045 3.2765
"22" 5.25 2.061 5.3424 4.4453 3.5517 3.1611 2.7061 9.1233 4.7544 7.4718 10.3027 4.7544 4.2677 0.0707 2.8421 5.1843 0.993 3.1788
"23" 5.5 2.0077 5.2661 4.3902 3.5357 3.1426 2.6299 9.2242 4.6259 7.6767 10.6092 4.6413 4.2096 0.0687 2.8197 5.1507 1.0065 3.1368
"24" 5.75 1.9549 5.1877 4.333 3.5173 3.1221 2.5548 9.3183 4.4987 7.8799 10.9141 4.5287 4.1497 0.0679 2.7998 5.12 1.0207 3.0973
"25" 6 1.9027 5.1082 4.2746 3.4972 3.1002 2.481 9.4076 4.3735 8.0829 11.2198 4.4172 4.089 0.0671 2.7812 5.0902 1.0351 3.0593
"26" 6.25 1.8514 5.0277 4.2151 3.4756 3.077 2.4085 9.4921 4.2504 8.2857 11.5261 4.3069 4.0274 0.0664 2.7637 5.0615 1.0498 3.0227
"27" 6.5 1.8008 4.9464 4.1547 3.4524 3.0526 2.3375 9.5716 4.1294 8.4881 11.8327 4.1978 3.965 0.0657 2.7473 5.0337 1.0646 2.9875
"28" 6.75 1.7511 4.8643 4.0933 3.4277 3.0269 2.2678 9.6462 4.0106 8.6898 12.1393 4.0902 3.902 0.065 2.7321 5.007 1.0796 2.9537
"29" 7 1.7022 4.7816 4.0312 3.4016 3.0001 2.1996 9.7159 3.894 8.8907 12.4456 3.984 3.8385 0.0643 2.7181 4.9812 1.0947 2.9214
"30" 7.25 1.6541 4.6984 3.9684 3.3742 2.9722 2.1328 9.7806 3.7796 9.0906 12.7513 3.8792 3.7745 0.0636 2.7051 4.9565 1.1099 2.8905
"31" 7.5 1.6069 4.6149 3.905 3.3454 2.9433 2.0674 9.8403 3.6675 9.2894 13.0563 3.776 3.7101 0.0629 2.6933 4.9328 1.1253 2.8611
"32" 7.75 1.5606 4.531 3.8411 3.3155 2.9135 2.0035 9.8952 3.5576 9.4869 13.3603 3.6744 3.6454 0.0623 2.6826 4.9101 1.1407 2.8331
"33" 8 1.5152 4.4471 3.7767 3.2844 2.8827 1.9411 9.9451 3.4501 9.6829 13.6629 3.5745 3.5805 0.0617 2.6729 4.8884 1.1562 2.8064
"34" 8.25 1.4707 4.363 3.7121 3.2523 2.8511 1.88 9.9901 3.3449 9.8773 13.9641 3.4762 3.5155 0.0611 2.6644 4.8677 1.1718 2.7812
"35" 8.5 1.4271 4.2791 3.6472 3.2191 2.8188 1.8205 10.0303 3.242 10.0699 14.2636 3.3797 3.4505 0.0605 2.6569 4.848 1.1874 2.7574
"36" 8.75 1.3845 4.1952 3.5822 3.185 2.7857 1.7623 10.0658 3.1415 10.2608 14.5612 3.2849 3.3855 0.0599 2.6504 4.8292 1.2031 2.735
"37" 9 1.3427 4.1117 3.5171 3.1501 2.752 1.7056 10.0966 3.0433 10.4496 14.8567 3.1918 3.3206 0.0594 2.6449 4.8115 1.2188 2.7139
"38" 9.25 1.3019 4.0284 3.4521 3.1143 2.7176 1.6503 10.1227 2.9474 10.6363 15.15 3.1006 3.2559 0.0588 2.6404 4.7946 1.2345 2.6942
"39" 9.5 1.262 3.9456 3.3871 3.0778 2.6828 1.5965 10.1443 2.8539 10.8209 15.4408 3.0112 3.1914 0.0583 2.6368 4.7788 1.2502 2.6757
"40" 9.75 1.223 3.8632 3.3222 3.0407 2.6475 1.5441 10.1615 2.7627 11.0032 15.729 2.9236 3.1273 0.0578 2.6342 4.7638 1.2658 2.6586
"41" 10 1.185 3.7814 3.2576 3.0029 2.6117 1.493 10.1743 2.6737 11.1832 16.0146 2.8379 3.0635 0.0573 2.6325 4.7498 1.2815 2.6427
"42" 10.25 1.1479 3.7002 3.1933 2.9646 2.5756 1.4433 10.1829 2.5871 11.3607 16.2972 2.754 3.0001 0.0568 2.6317 4.7367 1.297 2.6281
"43" 10.5 1.1117 3.6198 3.1293 2.9258 2.5391 1.395 10.1873 2.5027 11.5357 16.5769 2.672 2.9372 0.0563 2.6317 4.7244 1.3126 2.6146
"44" 10.75 1.0764 3.5401 3.0657 2.8866 2.5024 1.3481 10.1876 2.4206 11.7082 16.8535 2.5918 2.8748 0.0559 2.6326 4.713 1.3281 2.6024
"45" 11 1.042 3.4612 3.0026 2.847 2.4655 1.3024 10.1841 2.3407 11.878 17.1269 2.5135 2.8129 0.0555 2.6342 4.7024 1.3435 2.5913
"46" 11.25 1.0085 3.3831 2.94 2.8071 2.4284 1.2581 10.1766 2.2629 12.0452 17.3971 2.437 2.7517 0.055 2.6367 4.6926 1.3588 2.5813
"47" 11.5 0.9759 3.306 2.8779 2.767 2.3911 1.215 10.1655 2.1874 12.2097 17.6639 2.3624 2.6911 0.0546 2.6399 4.6836 1.374 2.5724
"48" 11.75 0.9442 3.2298 2.8164 2.7266 2.3538 1.1732 10.1508 2.1139 12.3714 17.9272 2.2896 2.6313 0.0542 2.6438 4.6754 1.3892 2.5646
"49" 12 0.9133 3.1546 2.7555 2.6861 2.3164 1.1327 10.1327 2.0426 12.5304 18.1871 2.2186 2.5721 0.0538 2.6483 4.6679 1.4042 2.5578
"50" 12.25 0.8833 3.0804 2.6953 2.6454 2.279 1.0934 10.1111 1.9733 12.6866 18.4434 2.1494 2.5136 0.0535 2.6536 4.6611 1.4191 2.5519
"51" 12.5 0.8541 3.0073 2.6358 2.6047 2.2417 1.0552 10.0863 1.906 12.8399 18.6961 2.0819 2.456 0.0531 2.6595 4.6551 1.4339 2.5471
"52" 12.75 0.8257 2.9353 2.577 2.5639 2.2044 1.0182 10.0585 1.8407 12.9905 18.9452 2.0163 2.3991 0.0528 2.666 4.6497 1.4486 2.5432
"53" 13 0.7982 2.8644 2.519 2.5232 2.1672 0.9824 10.0276 1.7774 13.1382 19.1907 1.9523 2.343 0.0524 2.6731 4.6449 1.4632 2.5401
"54" 13.25 0.7714 2.7946 2.4618 2.4825 2.1301 0.9477 9.9938 1.716 13.2831 19.4324 1.8901 2.2878 0.0521 2.6807 4.6408 1.4776 2.538
"55" 13.5 0.7455 2.7259 2.4053 2.4419 2.0932 0.9141 9.9573 1.6565 13.4252 19.6704 1.8295 2.2335 0.0518 2.6889 4.6374 1.4919 2.5367
"56" 13.75 0.7203 2.6585 2.3497 2.4014 2.0565 0.8816 9.9181 1.5987 13.5644 19.9047 1.7706 2.18 0.0515 2.6976 4.6345 1.506 2.5361
"57" 14 0.6958 2.5922 2.2949 2.3611 2.02 0.85 9.8764 1.5428 13.7008 20.1353 1.7134 2.1274 0.0512 2.7067 4.6321 1.52 2.5364
"58" 14.25 0.6721 2.5271 2.241 2.3209 1.9837 0.8196 9.8322 1.4887 13.8344 20.3622 1.6577 2.0756 0.0509 2.7163 4.6304 1.5338 2.5374
"59" 14.5 0.6491 2.4632 2.188 2.2809 1.9477 0.7901 9.7858 1.4362 13.9652 20.5853 1.6036 2.0248 0.0506 2.7264 4.6291 1.5475 2.5391
"60" 14.75 0.6268 2.4004 2.1358 2.2412 1.912 0.7615 9.7371 1.3854 14.0932 20.8048 1.5511 1.9749 0.0503 2.7369 4.6283 1.561 2.5415
"61" 15 0.6052 2.3389 2.0845 2.2018 1.8766 0.734 9.6864 1.3363 14.2184 21.0205 1.5001 1.9259 0.0501 2.7478 4.6281 1.5744 2.5446
"62" 15.25 0.5842 2.2786 2.0341 2.1626 1.8414 0.7073 9.6336 1.2887 14.341 21.2325 1.4506 1.8777 0.0498 2.759 4.6283 1.5876 2.5482
"63" 15.5 0.564 2.2195 1.9846 2.1238 1.8067 0.6815 9.579 1.2427 14.4608 21.4409 1.4025 1.8306 0.0496 2.7706 4.6289 1.6007 2.5525
"64" 15.75 0.5443 2.1616 1.936 2.0852 1.7722 0.6566 9.5226 1.1981 14.5779 21.6456 1.3559 1.7843 0.0493 2.7825 4.63 1.6135 2.5574
"65" 16 0.5253 2.1049 1.8882 2.047 1.7382 0.6325 9.4645 1.1551 14.6924 21.8467 1.3106 1.7389 0.0491 2.7947 4.6314 1.6263 2.5628
"66" 16.25 0.5069 2.0494 1.8414 2.0092 1.7045 0.6093 9.4048 1.1135 14.8042 22.0443 1.2667 1.6945 0.0489 2.8072 4.6333 1.6388 2.5687
"67" 16.5 0.4891 1.9951 1.7955 1.9718 1.6712 0.5868 9.3436 1.0732 14.9134 22.2383 1.2242 1.6509 0.0487 2.82 4.6355 1.6512 2.5751
"68" 16.75 0.4719 1.942 1.7505 1.9347 1.6383 0.5652 9.281 1.0344 15.0201 22.4287 1.1829 1.6083 0.0485 2.8331 4.6381 1.6634 2.582
"69" 17 0.4552 1.89 1.7064 1.8981 1.6058 0.5442 9.217 0.9968 15.1242 22.6157 1.1429 1.5665 0.0483 2.8463 4.641 1.6755 2.5893
"70" 17.25 0.4391 1.8392 1.6632 1.8619 1.5737 0.524 9.1519 0.9605 15.2259 22.7993 1.1042 1.5257 0.0481 2.8598 4.6443 1.6874 2.5971
"71" 17.5 0.4235 1.7895 1.6209 1.8261 1.5421 0.5045 9.0856 0.9254 15.3251 22.9794 1.0667 1.4857 0.0479 2.8735 4.6478 1.6991 2.6053
"72" 17.75 0.4084 1.741 1.5795 1.7907 1.5109 0.4857 9.0182 0.8916 15.4219 23.1562 1.0303 1.4466 0.0477 2.8874 4.6516 1.7107 2.6138
"73" 18 0.3938 1.6936 1.5389 1.7558 1.4801 0.4676 8.9498 0.8589 15.5163 23.3297 0.9951 1.4084 0.0475 2.9015 4.6557 1.7221 2.6227
"74" 18.25 0.3797 1.6473 1.4992 1.7214 1.4498 0.4501 8.8805 0.8273 15.6083 23.4999 0.961 1.371 0.0474 2.9157 4.6601 1.7333 2.6319
"75" 18.5 0.3661 1.6021 1.4604 1.6874 1.4199 0.4332 8.8103 0.7969 15.698 23.6669 0.928 1.3345 0.0472 2.9301 4.6647 1.7444 2.6415
"76" 18.75 0.353 1.5579 1.4224 1.6539 1.3905 0.4169 8.7394 0.7675 15.7855 23.8308 0.896 1.2988 0.047 2.9446 4.6695 1.7553 2.6514
"77" 19 0.3403 1.5148 1.3853 1.6208 1.3615 0.4012 8.6677 0.7391 15.8707 23.9915 0.8651 1.264 0.0469 2.9592 4.6745 1.766 2.6615
"78" 19.25 0.328 1.4728 1.349 1.5882 1.333 0.3861 8.5954 0.7117 15.9538 24.1491 0.8352 1.2299 0.0467 2.974 4.6798 1.7766 2.6719
"79" 19.5 0.3161 1.4318 1.3135 1.5562 1.3049 0.3715 8.5225 0.6853 16.0347 24.3037 0.8063 1.1967 0.0466 2.9888 4.6852 1.787 2.6826
"80" 19.75 0.3047 1.3918 1.2789 1.5245 1.2773 0.3574 8.4491 0.6598 16.1135 24.4553 0.7783 1.1642 0.0464 3.0037 4.6908 1.7973 2.6935
"81" 20 0.2936 1.3528 1.245 1.4934 1.2501 0.3439 8.3753 0.6352 16.1902 24.604 0.7512 1.1325 0.0463 3.0187 4.6966 1.8074 2.7046
"82" 20.25 0.283 1.3148 1.2119 1.4628 1.2234 0.3308 8.301 0.6115 16.2649 24.7498 0.725 1.1016 0.0462 3.0337 4.7026 1.8173 2.7159
"83" 20.5 0.2727 1.2778 1.1796 1.4326 1.1972 0.3182 8.2263 0.5887 16.3376 24.8928 0.6996 1.0715 0.046 3.0488 4.7086 1.8271 2.7274
"84" 20.75 0.2627 1.2416 1.1481 1.403 1.1714 0.3061 8.1514 0.5666 16.4083 25.033 0.6752 1.0421 0.0459 3.064 4.7149 1.8368 2.739
"85" 21 0.2531 1.2064 1.1173 1.3738 1.146 0.2944 8.0762 0.5454 16.4771 25.1705 0.6515 1.0134 0.0458 3.0792 4.7212 1.8463 2.7508
"86" 21.25 0.2439 1.1722 1.0872 1.3451 1.1211 0.2832 8.0008 0.5249 16.5441 25.3054 0.6286 0.9854 0.0457 3.0944 4.7277 1.8556 2.7628
"87" 21.5 0.2349 1.1388 1.0579 1.3169 1.0967 0.2723 7.9252 0.5052 16.6092 25.4375 0.6065 0.9581 0.0456 3.1096 4.7343 1.8648 2.7749
"88" 21.75 0.2263 1.1062 1.0293 1.2892 1.0727 0.2619 7.8495 0.4862 16.6725 25.5671 0.5851 0.9315 0.0455 3.1249 4.7409 1.8739 2.7871
"89" 22 0.218 1.0746 1.0014 1.2619 1.0491 0.2519 7.7738 0.4679 16.7341 25.6942 0.5645 0.9056 0.0453 3.1401 4.7477 1.8828 2.7994
"90" 22.25 0.21 1.0437 0.9741 1.2351 1.026 0.2422 7.698 0.4502 16.7939 25.8188 0.5445 0.8804 0.0452 3.1554 4.7545 1.8916 2.8119
"91" 22.5 0.2022 1.0137 0.9476 1.2088 1.0033 0.2329 7.6222 0.4332 16.852 25.941 0.5252 0.8557 0.0451 3.1706 4.7615 1.9002 2.8244
"92" 22.75 0.1948 0.9845 0.9217 1.183 0.981 0.2239 7.5464 0.4168 16.9085 26.0608 0.5066 0.8318 0.045 3.1859 4.7684 1.9087 2.837
"93" 23 0.1876 0.9561 0.8965 1.1576 0.9592 0.2153 7.4707 0.401 16.9633 26.1782 0.4886 0.8084 0.0449 3.2011 4.7755 1.9171 2.8496
"94" 23.25 0.1807 0.9284 0.8719 1.1327 0.9378 0.207 7.3951 0.3858 17.0166 26.2934 0.4713 0.7857 0.0449 3.2163 4.7826 1.9253 2.8623
"95" 23.5 0.174 0.9015 0.8479 1.1083 0.9168 0.199 7.3196 0.3712 17.0683 26.4063 0.4545 0.7635 0.0448 3.2314 4.7897 1.9334 2.8751
"96" 23.75 0.1675 0.8753 0.8245 1.0843 0.8962 0.1913 7.2443 0.357 17.1186 26.517 0.4383 0.742 0.0447 3.2466 4.7969 1.9414 2.8879
"97" 24 0.1613 0.8498 0.8018 1.0608 0.876 0.1839 7.1692 0.3435 17.1673 26.6256 0.4227 0.721 0.0446 3.2616 4.8041 1.9492 2.9007
"98" 24.25 0.1553 0.825 0.7796 1.0377 0.8562 0.1768 7.0943 0.3304 17.2146 26.732 0.4076 0.7005 0.0445 3.2767 4.8114 1.9569 2.9136
"99" 24.5 0.1495 0.8009 0.758 1.015 0.8368 0.1699 7.0196 0.3178 17.2604 26.8364 0.393 0.6806 0.0444 3.2917 4.8187 1.9645 2.9264
"100" 24.75 0.144 0.7775 0.7369 0.9928 0.8179 0.1633 6.9452 0.3057 17.3049 26.9388 0.3789 0.6612 0.0444 3.3066 4.826 1.972 2.9393
"101" 25 0.1386 0.7547 0.7164 0.971 0.7992 0.157 6.8711 0.294 17.348 27.0392 0.3654 0.6424 0.0443 3.3215 4.8333 1.9794 2.9522
"102" 25.25 0.1334 0.7325 0.6965 0.9497 0.781 0.1509 6.7973 0.2827 17.3899 27.1376 0.3522 0.6241 0.0442 3.3363 4.8406 1.9866 2.9651
"103" 25.5 0.1285 0.711 0.677 0.9287 0.7632 0.145 6.7238 0.2719 17.4304 27.2342 0.3396 0.6062 0.0441 3.351 4.8479 1.9937 2.978
"104" 25.75 0.1237 0.69 0.6581 0.9082 0.7457 0.1394 6.6507 0.2615 17.4696 27.3289 0.3274 0.5888 0.0441 3.3657 4.8552 2.0007 2.9909
