"time" "N1" "N2" "N3"
"1" 0 0.11 0.12 0.13
"2" 0.25 0.1297 0.1415 0.1533
"3" 0.5 0.1529 0.1668 0.1807
"4" 0.75 0.1803 0.1967 0.2131
"5" 1 0.2126 0.2319 0.2512
"6" 1.25 0.2506 0.2734 0.2962
"7" 1.5 0.2955 0.3223 0.3492
"8" 1.75 0.3483 0.38 0.4116
"9" 2 0.4105 0.4479 0.4852
"10" 2.25 0.4839 0.5279 0.5719
"11" 2.5 0.5703 0.6221 0.674
"12" 2.75 0.6721 0.7331 0.7943
"13" 3 0.7919 0.8639 0.9359
"14" 3.25 0.9329 1.0177 1.1027
"15" 3.5 1.0989 1.1988 1.2989
"16" 3.75 1.2941 1.4118 1.5297
"17" 4 1.5236 1.6622 1.8011
"18" 4.25 1.7934 1.9564 2.12
"19" 4.5 2.1101 2.3019 2.4946
"20" 4.75 2.4817 2.7073 2.9341
"21" 5 2.9171 3.1823 3.4493
"22" 5.25 3.4268 3.7384 4.0525
"23" 5.5 4.0224 4.3881 4.7575
"24" 5.75 4.7168 5.1456 5.5799
"25" 6 5.5242 6.0264 6.5366
"26" 6.25 6.4596 7.0468 7.6458
"27" 6.5 7.5378 8.223 8.9257
"28" 6.75 8.7719 9.5692 10.3929
"29" 7 10.1701 11.0944 12.0592
"30" 7.25 11.7295 12.7952 13.9248
"31" 7.5 13.4241 14.6432 15.9666
"32" 7.75 15.1835 16.5603 18.117
"33" 8 16.8545 18.3764 20.2311
"34" 8.25 18.1738 19.7896 22.0742
"35" 8.5 18.9042 20.4976 23.2653
"36" 8.75 19.1865 20.6152 23.7551
"37" 9 19.3323 20.4845 23.9251
"38" 9.25 19.4906 20.2743 23.9863
"39" 9.5 19.7051 20.029 23.9955
"40" 9.75 19.991 19.7569 23.9623
"41" 10 20.3584 19.4578 23.8849
"42" 10.25 20.817 19.13 23.7587
"43" 10.5 21.3777 18.7706 23.578
"44" 10.75 22.053 18.3768 23.3361
"45" 11 22.8024 17.9496 23.0324
"46" 11.25 23.4559 17.5288 22.7273
"47" 11.5 24.0209 17.1385 22.4587
"48" 11.75 24.5114 16.7801 22.2302
"49" 12 24.9391 16.4505 22.038
"50" 12.25 25.3141 16.1457 21.8771
"51" 12.5 25.6459 15.862 21.7427
"52" 12.75 25.9422 15.5962 21.6302
"53" 13 26.2098 15.3452 21.5357
"54" 13.25 26.4556 15.1093 21.44
"55" 13.5 26.6869 14.8942 21.333
"56" 13.75 26.9048 14.7033 21.216
"57" 14 27.1085 14.5391 21.0888
"58" 14.25 27.2968 14.4036 20.9512
"59" 14.5 27.4684 14.299 20.8026
"60" 14.75 27.6218 14.2276 20.6426
"61" 15 27.7556 14.1916 20.4709
"62" 15.25 27.8683 14.1934 20.2869
"63" 15.5 27.9582 14.2357 20.0902
"64" 15.75 28.0236 14.3213 19.8804
"65" 16 28.0626 14.4532 19.6568
"66" 16.25 28.0731 14.6351 19.4188
"67" 16.5 28.0528 14.8707 19.1658
"68" 16.75 27.9992 15.1645 18.8969
"69" 17 27.9092 15.5216 18.6111
"70" 17.25 27.7796 15.9477 18.3074
"71" 17.5 27.6065 16.4497 17.9845
"72" 17.75 27.3855 17.0353 17.6407
"73" 18 27.1114 17.7137 17.2742
"74" 18.25 26.7788 18.4896 16.8832
"75" 18.5 26.4057 19.2881 16.478
"76" 18.75 26.0176 20.0965 16.0721
"77" 19 25.6184 20.9174 15.6678
"78" 19.25 25.2094 21.7498 15.2656
"79" 19.5 24.7912 22.5925 14.866
"80" 19.75 24.3647 23.4441 14.4694
"81" 20 23.9306 24.3032 14.0762
"82" 20.25 23.4898 25.1684 13.6868
"83" 20.5 23.0431 26.0383 13.3015
"84" 20.75 22.5961 26.8755 12.9229
"85" 21 22.1979 27.5553 12.5737
"86" 21.25 21.8726 28.1026 12.2645
"87" 21.5 21.6137 28.5465 11.9913
"88" 21.75 21.4096 28.9106 11.7478
"89" 22 21.249 29.2136 11.5281
"90" 22.25 21.1222 29.47 11.3274
"91" 22.5 20.9964 29.6944 11.1449
"92" 22.75 20.8588 29.8998 10.9858
"93" 23 20.7117 30.0892 10.8526
"94" 23.25 20.5557 30.2628 10.7465
"95" 23.5 20.3909 30.4201 10.6684
"96" 23.75 20.2171 30.5603 10.6192
"97" 24 20.0346 30.6828 10.6001
"98" 24.25 19.8431 30.7868 10.612
"99" 24.5 19.6428 30.8716 10.6563
"100" 24.75 19.4335 30.9361 10.7342
"101" 25 19.215 30.9795 10.8474
"102" 25.25 18.9873 31.0005 10.9977
"103" 25.5 18.7501 30.9978 11.1872
"104" 25.75 18.503 30.97 11.4186
"105" 26 18.2457 30.9153 11.6946
"106" 26.25 17.9776 30.8317 12.0186
"107" 26.5 17.698 30.7168 12.3947
"108" 26.75 17.4063 30.5681 12.8273
"109" 27 17.1014 30.3823 13.3218
"110" 27.25 16.7824 30.1559 13.8844
"111" 27.5 16.4479 29.8848 14.5223
"112" 27.75 16.098 29.5676 15.223
"113" 28 15.7427 29.2252 15.9387
"114" 28.25 15.387 28.8681 16.6715
"115" 28.5 15.0316 28.4977 17.4216
"116" 28.75 14.6768 28.1146 18.188
"117" 29 14.323 27.7195 18.9698
"118" 29.25 13.9706 27.3129 19.7659
"119" 29.5 13.6198 26.8954 20.5752
"120" 29.75 13.271 26.4679 21.3965
"121" 30 12.9245 26.0311 22.2285
"122" 30.25 12.5807 25.5857 23.0699
"123" 30.5 12.2399 25.1325 23.9194
"124" 30.75 11.9024 24.6724 24.7756
"125" 31 11.5685 24.2062 25.6372
"126" 31.25 11.2385 23.7348 26.5028
"127" 31.5 10.9128 23.259 27.371
"128" 31.75 10.5915 22.7798 28.2405
"129" 32 10.2761 22.3006 29.0841
"130" 32.25 9.9858 21.8739 29.7467
"131" 32.5 9.7333 21.5349 30.2552
"132" 32.75 9.5142 21.2739 30.6518
"133" 33 9.3216 21.0746 30.9666
"134" 33.25 9.1495 20.9226 31.2215
"135" 33.5 8.9951 20.7841 31.4353
"136" 33.75 8.8626 20.6334 31.627
"137" 34 8.754 20.4741 31.8025
"138" 34.25 8.67 20.3073 31.963
"139" 34.5 8.6109 20.1332 32.1083
"140" 34.75 8.5772 19.952 32.2381
"141" 35 8.5692 19.7639 32.3522
"142" 35.25 8.5874 19.5689 32.4502
"143" 35.5 8.6324 19.3673 32.5316
"144" 35.75 8.7052 19.159 32.5958
"145" 36 8.8066 18.9441 32.6423
"146" 36.25 8.9379 18.7225 32.6703
"147" 36.5 9.1004 18.494 32.6789
"148" 36.75 9.2959 18.2586 32.667
"149" 37 9.5265 18.0161 32.6335
"150" 37.25 9.7944 17.766 32.5769
"151" 37.5 10.1025 17.5079 32.4955
"152" 37.75 10.454 17.2415 32.3873
"153" 38 10.8528 16.9661 32.2503
"154" 38.25 11.303 16.681 32.0817
"155" 38.5 11.8098 16.3854 31.8786
"156" 38.75 12.379 16.0782 31.6376
"157" 39 13.007 15.759 31.3562
"158" 39.25 13.6553 15.4343 31.0488
"159" 39.5 14.3226 15.1085 30.7254
"160" 39.75 15.0092 14.7823 30.3874
"161" 40 15.7148 14.456 30.0355
"162" 40.25 16.4386 14.1299 29.6698
"163" 40.5 17.1798 13.8042 29.2909
"164" 40.75 17.9375 13.4792 28.8993
"165" 41 18.7109 13.1552 28.4954
"166" 41.25 19.4989 12.8324 28.0799
"167" 41.5 20.3004 12.5112 27.6534
"168" 41.75 21.1141 12.1919 27.2167
"169" 42 21.939 11.8746 26.7704
"170" 42.25 22.7738 11.5599 26.3154
"171" 42.5 23.617 11.2478 25.8524
"172" 42.75 24.4675 10.9388 25.3823
"173" 43 25.3238 10.6331 24.906
"174" 43.25 26.1846 10.3309 24.4242
"175" 43.5 27.0485 10.0326 23.9379
"176" 43.75 27.9143 9.7383 23.4479
"177" 44 28.7805 9.4484 22.9551
"178" 44.25 29.646 9.163 22.4604
"179" 44.5 30.4299 8.8867 21.9776
"180" 44.75 31.0104 8.6414 21.5745
"181" 45 31.4484 8.4308 21.2643
"182" 45.25 31.7857 8.2487 21.0302
"183" 45.5 32.0512 8.0886 20.8543
"184" 45.75 32.2663 7.9458 20.71
"185" 46 32.4541 7.8227 20.5549
"186" 46.25 32.6253 7.7218 20.3914
"187" 46.5 32.782 7.6438 20.221
"188" 46.75 32.9244 7.5887 20.0442
"189" 47 33.0525 7.5565 19.8612
"190" 47.25 33.1662 7.5476 19.6722
"191" 47.5 33.2652 7.562 19.4775
"192" 47.75 33.3493 7.6003 19.2771
"193" 48 33.4181 7.6629 19.0712
"194" 48.25 33.4711 7.7505 18.8599
"195" 48.5 33.5078 7.864 18.643
"196" 48.75 33.5275 8.0046 18.4207
"197" 49 33.5294 8.1734 18.1927
"198" 49.25 33.5125 8.3721 17.959
"199" 49.5 33.4757 8.6026 17.7193
"200" 49.75 33.4176 8.8671 17.4734
"201" 50 33.3367 9.1681 17.2208
"202" 50.25 33.2313 9.5085 16.9611
"203" 50.5 33.0992 9.8919 16.6938
"204" 50.75 32.9381 10.3223 16.4183
"205" 51 32.7452 10.8041 16.1338
"206" 51.25 32.5175 11.3426 15.8394
"207" 51.5 32.253 11.9334 15.535
"208" 51.75 31.9647 12.5443 15.226
"209" 52 31.6603 13.175 14.9158
"210" 52.25 31.3412 13.8259 14.6051
"211" 52.5 31.0075 14.4965 14.294
"212" 52.75 30.6596 15.1864 13.9828
"213" 53 30.2978 15.8949 13.6716
"214" 53.25 29.9224 16.6214 13.3608
