"time" "N1" "N2" "N3" "N4" "N5" "N6"
"1" 0 0.11 0.12 0.13 0 0 0
"2" 0.25 0.128 0.1401 0.1536 0 0 0
"3" 0.5 0.149 0.1636 0.1815 0 0 0
"4" 0.75 0.1734 0.191 0.2144 0 0 0
"5" 1 0.2018 0.2229 0.2534 0 0 0
"6" 1.25 0.2349 0.2603 0.2994 0 0 0
"7" 1.5 0.2733 0.3038 0.3537 0 0 0
"8" 1.75 0.3181 0.3546 0.4178 0 0 0
"9" 2 0.3701 0.414 0.4936 0 0 0
"10" 2.25 0.4307 0.4832 0.5832 0 0 0
"11" 2.5 0.5011 0.5639 0.6889 0 0 0
"12" 2.75 0.583 0.6582 0.8138 0 0 0
"13" 3 0.6782 0.768 0.9612 0 0 0
"14" 3.25 0.7888 0.8962 1.1353 0 0 0
"15" 3.5 0.9174 1.0456 1.3407 0 0 0
"16" 3.75 1.0669 1.2198 1.5833 0 0 0
"17" 4 1.2404 1.4227 1.8695 0 0 0
"18" 4.25 1.442 1.6592 2.2071 0 0 0
"19" 4.5 1.6758 1.9345 2.6053 0 0 0
"20" 4.75 1.9471 2.2549 3.0748 0 0 0
"21" 5 2.2616 2.6277 3.6281 0 0 0
"22" 5.25 2.6258 3.0609 4.2798 0 0 0
"23" 5.5 3.0474 3.5641 5.047 0 0 0
"24" 5.75 3.5347 4.1479 5.9495 0 0 0
"25" 6 4.0972 4.8245 7.0102 0 0 0
"26" 6.25 4.7456 5.6072 8.2554 0 0 0
"27" 6.5 5.4913 6.5113 9.7151 0 0 0
"28" 6.75 6.3468 7.5528 11.4233 0 0 0
"29" 7 7.3252 8.7494 13.4179 0 0 0
"30" 7.25 8.4394 10.1188 15.7398 0 0 0
"31" 7.5 9.7016 11.6784 18.432 0 0 0
"32" 7.75 11.1214 13.443 21.5369 0 0 0
"33" 8 12.7029 15.4218 25.0901 0 0 0
"34" 8.25 14.4412 17.6134 29.1101 0 0 0
"35" 8.5 16.3148 19.9976 33.5773 0 0 0
"36" 8.75 18.2761 22.5221 38.3941 0 0 0
"37" 9 20.2391 25.0867 43.3071 0 0 0
"38" 9.25 22.0739 27.48 47.7801 0 0 0
"39" 9.5 23.6572 29.1289 50.979 0 0 0
"40" 9.75 24.9954 29.7614 52.3959 0 0 0
"41" 10 26.2237 29.6961 52.54 0 0 0
"42" 10.25 27.4553 29.3518 52.1598 0 0 0
"43" 10.5 28.7377 28.9168 51.6025 0 0 0
"44" 10.75 30.0612 28.448 50.9745 0 0 0
"45" 11 31.4089 27.9668 50.3155 0 0 0
"46" 11.25 32.7866 27.4782 49.6353 0 0 0
"47" 11.5 34.194 26.9836 48.9359 0 0 0
"48" 11.75 35.6295 26.4835 48.2184 0 0 0
"49" 12 37.0912 25.9786 47.4839 0 0 0
"50" 12.25 38.5771 25.4694 46.7332 0 0 0
"51" 12.5 40.0852 24.9566 45.9676 0 0 0
"52" 12.75 41.6133 24.4408 45.1883 0 0 0
"53" 13 43.159 23.9227 44.3963 0 0 0
"54" 13.25 44.72 23.4029 43.5931 0 0 0
"55" 13.5 46.2939 22.8823 42.7799 0 0 0
"56" 13.75 47.8784 22.3614 41.9581 0 0 0
"57" 14 49.4708 21.8409 41.129 0 0 0
"58" 14.25 51.0689 21.3216 40.294 0 0 0
"59" 14.5 52.6701 20.8041 39.4544 0 0 0
"60" 14.75 54.2676 20.2891 38.6118 0 0 0
"61" 15 55.6149 19.7992 37.8126 0 0 0
"62" 15.25 56.6694 19.3735 37.1376 0 0 0
"63" 15.5 57.508 19.0128 36.5898 0 0 0
"64" 15.75 58.1791 18.7078 36.1509 0 0 0
"65" 16 58.7185 18.4485 35.8019 0 0 0
"66" 16.25 59.1541 18.2264 35.5258 0 0 0
"67" 16.5 59.5077 18.0343 35.3088 0 0 0
"68" 16.75 59.7962 17.8665 35.1395 0 0 0
"69" 17 60.0328 17.7182 35.0087 0 0 0
"70" 17.25 60.2279 17.5858 34.9091 0 0 0
"71" 17.5 60.3909 17.4665 34.8278 0 0 0
"72" 17.75 60.5371 17.3613 34.7403 0 0 0
"73" 18 60.6741 17.2709 34.6479 0 0 0
"74" 18.25 60.8033 17.1948 34.5512 0 0 0
"75" 18.5 60.9251 17.1325 34.4508 0 0 0
"76" 18.75 61.0399 17.0833 34.3467 0 0 0
"77" 19 61.1478 17.0468 34.2393 0 0 0
"78" 19.25 61.2492 17.0224 34.1286 0 0 0
"79" 19.5 61.3442 17.0097 34.0148 0 0 0
"80" 19.75 61.4331 17.0084 33.8981 0 0 0
"81" 20 61.5159 17.018 33.7786 0 0 0
"82" 20.25 61.593 17.0383 33.6565 0 0 0
"83" 20.5 61.6643 17.0689 33.5319 0 0 0
"84" 20.75 61.7302 17.1095 33.4048 0 0 0
"85" 21 61.7906 17.1598 33.2754 0 0 0
"86" 21.25 61.8457 17.2197 33.1437 0 0 0
"87" 21.5 61.8956 17.2889 33.01 0 0 0
"88" 21.75 61.9404 17.3672 32.8742 0 0 0
"89" 22 61.9802 17.4544 32.7364 0 0 0
"90" 22.25 62.015 17.5503 32.5967 0 0 0
"91" 22.5 62.0449 17.6548 32.4552 0 0 0
"92" 22.75 62.0701 17.7677 32.312 0 0 0
"93" 23 62.0905 17.8888 32.167 0 0 0
"94" 23.25 62.1063 18.0181 32.0204 0 0 0
"95" 23.5 62.1174 18.1554 31.8723 0 0 0
"96" 23.75 62.124 18.3005 31.7226 0 0 0
"97" 24 62.126 18.4534 31.5714 0 0 0
"98" 24.25 62.1236 18.6139 31.4188 0 0 0
"99" 24.5 62.1167 18.7819 31.2649 0 0 0
"100" 24.75 62.1055 18.9573 31.1096 0 0 0
"101" 25 62.0899 19.1401 30.953 0 0 0
"102" 25.25 62.0701 19.33 30.7953 0 0 0
"103" 25.5 62.046 19.527 30.6363 0 0 0
"104" 25.75 62.0177 19.731 30.4762 0 0 0
"105" 26 61.9852 19.9418 30.315 0 0 0
"106" 26.25 61.9486 20.1595 30.1528 0 0 0
"107" 26.5 61.908 20.3837 29.9895 0 0 0
"108" 26.75 61.8634 20.6146 29.8253 0 0 0
"109" 27 61.8147 20.8518 29.6602 0 0 0
"110" 27.25 61.7622 21.0954 29.4942 0 0 0
"111" 27.5 61.7058 21.3451 29.3274 0 0 0
"112" 27.75 61.6456 21.6009 29.1598 0 0 0
"113" 28 61.5817 21.8626 28.9914 0 0 0
"114" 28.25 61.5141 22.1301 28.8224 0 0 0
"115" 28.5 61.4428 22.4032 28.6527 0 0 0
"116" 28.75 61.3681 22.6819 28.4825 0 0 0
"117" 29 61.2898 22.9658 28.3116 0 0 0
"118" 29.25 61.2081 23.255 28.1403 0 0 0
"119" 29.5 61.1232 23.5492 27.9686 0 0 0
"120" 29.75 61.035 23.8483 27.7964 0 0 0
"121" 30 60.9436 24.1521 27.6239 0 0 0
"122" 30.25 60.8492 24.4603 27.4511 0 0 0
"123" 30.5 60.7517 24.7729 27.2781 0 0 0
"124" 30.75 60.6515 25.0897 27.1049 0 0 0
"125" 31 60.5484 25.4103 26.9315 0 0 0
"126" 31.25 60.4426 25.7348 26.758 0 0 0
"127" 31.5 60.3343 26.0628 26.5845 0 0 0
"128" 31.75 60.2235 26.3941 26.4111 0 0 0
"129" 32 60.1103 26.7285 26.2377 0 0 0
"130" 32.25 59.9949 27.0659 26.0644 0 0 0
"131" 32.5 59.8773 27.406 25.8913 0 0 0
"132" 32.75 59.7577 27.7486 25.7184 0 0 0
"133" 33 59.6362 28.0935 25.5459 0 0 0
"134" 33.25 59.513 28.4404 25.3736 0 0 0
"135" 33.5 59.388 28.7891 25.2018 0 0 0
"136" 33.75 59.2615 29.1394 25.0304 0 0 0
"137" 34 59.1336 29.4912 24.8594 0 0 0
"138" 34.25 59.0044 29.8441 24.6891 0 0 0
"139" 34.5 58.874 30.198 24.5193 0 0 0
"140" 34.75 58.7425 30.5525 24.3501 0 0 0
"141" 35 58.61 30.9077 24.1817 0 0 0
"142" 35.25 58.4768 31.2631 24.0139 0 0 0
"143" 35.5 58.3428 31.6186 23.847 0 0 0
"144" 35.75 58.2083 31.9741 23.6808 0 0 0
"145" 36 58.0732 32.3292 23.5155 0 0 0
"146" 36.25 57.9378 32.6838 23.3511 0 0 0
"147" 36.5 57.8022 33.0378 23.1877 0 0 0
"148" 36.75 57.6664 33.3909 23.0252 0 0 0
"149" 37 57.5305 33.7429 22.8637 0 0 0
"150" 37.25 57.3947 34.0938 22.7032 0 0 0
"151" 37.5 57.259 34.4432 22.5438 0 0 0
"152" 37.75 57.1236 34.7912 22.3855 0 0 0
"153" 38 56.9885 35.1375 22.2283 0 0 0
"154" 38.25 56.8549 35.4742 22.0726 0 0 0
"155" 38.5 56.7363 35.7653 21.9234 0 0 0
"156" 38.75 56.6409 36.0134 21.7836 0 0 0
"157" 39 56.5673 36.2248 21.6524 0 0 0
"158" 39.25 56.5128 36.4051 21.5289 0 0 0
"159" 39.5 56.4644 36.5595 21.4128 0 0 0
"160" 39.75 56.3925 36.696 21.3126 0 0 0
"161" 40 56.3023 36.8203 21.2356 0 0 0
"162" 40.25 56.1972 36.9346 21.184 0 0 0
"163" 40.5 56.0789 37.04 21.1585 0 0 0
"164" 40.75 55.948 37.1367 21.1588 0 0 0
"165" 41 55.8052 37.2251 21.1845 0 0 0
"166" 41.25 55.6509 37.3052 21.2352 0 0 0
"167" 41.5 55.4853 37.3772 21.3107 0 0 0
"168" 41.75 55.3087 37.4412 21.4106 0 0 0
"169" 42 55.1215 37.4972 21.5346 0 0 0
"170" 42.25 54.9238 37.5453 21.6825 0 0 0
"171" 42.5 54.7158 37.5856 21.8541 0 0 0
"172" 42.75 54.4978 37.6179 22.0493 0 0 0
"173" 43 54.2699 37.6425 22.2679 0 0 0
"174" 43.25 54.0323 37.6591 22.5099 0 0 0
"175" 43.5 53.7851 37.668 22.7751 0 0 0
"176" 43.75 53.5284 37.6689 23.0636 0 0 0
"177" 44 53.2626 37.6622 23.3705 0 0 0
"178" 44.25 52.9928 37.6514 23.6634 0 0 0
"179" 44.5 52.7254 37.6413 23.9401 0 0 0
"180" 44.75 52.4627 37.6339 24.2031 0 0 0
"181" 45 52.2054 37.6296 24.454 0 0 0
"182" 45.25 51.9537 37.6286 24.6938 0 0 0
"183" 45.5 51.7073 37.6307 24.9234 0 0 0
"184" 45.75 51.4659 37.6359 25.1435 0 0 0
"185" 46 51.2293 37.6438 25.3548 0 0 0
"186" 46.25 50.997 37.6543 25.5581 0 0 0
"187" 46.5 50.7689 37.6672 25.7538 0 0 0
"188" 46.75 50.5446 37.6823 25.9426 0 0 0
"189" 47 50.3239 37.6994 26.1251 0 0 0
"190" 47.25 50.1064 37.7185 26.3016 0 0 0
"191" 47.5 49.8921 37.7392 26.4729 0 0 0
"192" 47.75 49.6805 37.7614 26.6392 0 0 0
"193" 48 49.4716 37.7851 26.8009 0 0 0
"194" 48.25 49.2652 37.8101 26.9585 0 0 0
"195" 48.5 49.0615 37.8329 27.1126 0 0 0
"196" 48.75 48.8624 37.8514 27.2644 0 0 0
"197" 49 48.6687 37.8662 27.4142 0 0 0
"198" 49.25 48.4813 37.8774 27.5621 0 0 0
"199" 49.5 48.3005 37.8849 27.7079 0 0 0
"200" 49.75 48.1267 37.8885 27.8514 0 0 0
"201" 50 47.9606 37.8881 27.9926 0 0 0
"202" 50.25 47.8025 37.8833 28.1311 0 0 0
"203" 50.5 47.653 37.8741 28.2667 0 0 0
"204" 50.75 47.5125 37.8601 28.3993 0 0 0
"205" 51 47.3816 37.8412 28.5286 0 0 0
"206" 51.25 47.2609 37.8171 28.6543 0 0 0
"207" 51.5 47.151 37.7876 28.7763 0 0 0
"208" 51.75 47.0524 37.7525 28.8941 0 0 0
"209" 52 46.9657 37.7114 29.0077 0 0 0
