"time" "N1" "N2" "N3" "N4" "N5" "R1" "R2" "R3" "R4" "R5"
"1" 999.75 12.5899 13.5491 36.5836 12.0484 45.4518 0.0936 0.1412 0.1596 0.1415 0.3134
"2" 1000 12.4129 13.4333 36.4702 12.0993 45.8969 0.0934 0.133 0.1329 0.1424 0.3095
"3" 1000.25 12.2423 13.3231 36.3264 12.1338 46.2975 0.0973 0.1315 0.1158 0.1455 0.3109
"4" 1000.5 12.1136 13.2607 36.116 12.139 46.5996 0.1074 0.1389 0.1131 0.1509 0.3188
"5" 1000.75 12.0349 13.2563 35.8734 12.1321 46.8538 0.1178 0.1453 0.1108 0.1548 0.3243
"6" 1001 12.0044 13.3086 35.6009 12.1136 47.0619 0.1284 0.1506 0.1086 0.1572 0.3276
"7" 1001.25 12.0206 13.4105 35.3012 12.0844 47.226 0.1393 0.1549 0.1067 0.1583 0.3288
"8" 1001.5 12.0831 13.5346 34.9823 12.0472 47.3569 0.1504 0.1587 0.1053 0.1582 0.329
"9" 1001.75 12.1729 13.6762 34.6509 12.0043 47.464 0.1617 0.1625 0.1046 0.1575 0.3287
"10" 1002 12.261 13.8358 34.3163 11.9592 47.5612 0.1732 0.1661 0.1042 0.1568 0.3279
"11" 1002.25 12.3474 14.0131 33.9794 11.9122 47.6498 0.1845 0.1696 0.1038 0.156 0.3266
"12" 1002.5 12.4321 14.2075 33.6407 11.8634 47.73 0.1958 0.1728 0.1034 0.1551 0.3247
"13" 1002.75 12.5151 14.4185 33.3002 11.8129 47.802 0.207 0.1759 0.1031 0.1542 0.3222
"14" 1003 12.5964 14.6455 32.9583 11.7607 47.8659 0.2182 0.1786 0.1027 0.1533 0.3192
"15" 1003.25 12.6759 14.8882 32.6151 11.7068 47.9219 0.2292 0.1812 0.1023 0.1522 0.3157
"16" 1003.5 12.7542 15.1405 32.2719 11.6518 47.9715 0.2402 0.1838 0.1021 0.1512 0.3119
"17" 1003.75 12.8321 15.396 31.9303 11.5963 48.018 0.2512 0.1863 0.102 0.1502 0.308
"18" 1004 12.9095 15.6546 31.5906 11.5404 48.0615 0.262 0.1887 0.1019 0.1491 0.3039
"19" 1004.25 12.9866 15.9165 31.2528 11.4841 48.1019 0.2727 0.191 0.1017 0.148 0.2997
"20" 1004.5 13.0632 16.1815 30.9169 11.4273 48.1393 0.2834 0.1932 0.1016 0.1469 0.2954
"21" 1004.75 13.1394 16.4498 30.583 11.3702 48.1736 0.2939 0.1953 0.1015 0.1457 0.2909
