"time" "Tot"
"1" 0 0.65
"2" 0.25 0.7705
"3" 0.5 0.9133
"4" 0.75 1.0824
"5" 1 1.283
"6" 1.25 1.5208
"7" 1.5 1.8024
"8" 1.75 2.1362
"9" 2 2.5318
"10" 2.25 3.0001
"11" 2.5 3.5552
"12" 2.75 4.2126
"13" 3 4.9909
"14" 3.25 5.9127
"15" 3.5 7.0036
"16" 3.75 8.2943
"17" 4 9.8209
"18" 4.25 11.6257
"19" 4.5 13.7579
"20" 4.75 16.2751
"21" 5 19.2439
"22" 5.25 22.741
"23" 5.5 26.8539
"24" 5.75 31.6811
"25" 6 37.331
"26" 6.25 43.9183
"27" 6.5 51.5564
"28" 6.75 60.34
"29" 7 70.3088
"30" 7.25 81.3658
"31" 7.5 93.093
"32" 7.75 104.3372
"33" 8 112.7012
"34" 8.25 116.3148
"35" 8.5 117.1479
"36" 8.75 117.3122
"37" 9 117.3694
"38" 9.25 117.4121
"39" 9.5 117.4535
"40" 9.75 117.4961
"41" 10 117.5394
"42" 10.25 117.5842
"43" 10.5 117.6301
"44" 10.75 117.6769
"45" 11 117.725
"46" 11.25 117.7739
"47" 11.5 117.8241
"48" 11.75 117.8752
"49" 12 117.9272
"50" 12.25 117.9802
"51" 12.5 118.0341
"52" 12.75 118.0887
"53" 13 118.1446
"54" 13.25 118.201
"55" 13.5 118.2584
"56" 13.75 118.3167
"57" 14 118.3756
"58" 14.25 118.4352
"59" 14.5 118.4651
"60" 14.75 118.3627
"61" 15 118.2333
"62" 15.25 118.1168
"63" 15.5 118.0166
"64" 15.75 117.932
"65" 16 117.8624
"66" 16.25 117.807
"67" 16.5 117.765
"68" 16.75 117.7365
"69" 17 117.7201
"70" 17.25 117.7157
"71" 17.5 117.7229
"72" 17.75 117.7365
"73" 18 117.7496
"74" 18.25 117.767
"75" 18.5 117.7887
"76" 18.75 117.8125
"77" 19 117.8356
"78" 19.25 117.8603
"79" 19.5 117.8865
"80" 19.75 117.9145
"81" 20 117.944
"82" 20.25 117.9751
"83" 20.5 118.0079
"84" 20.75 118.0422
"85" 21 118.0782
"86" 21.25 118.1158
"87" 21.5 118.1551
"88" 21.75 118.1957
"89" 22 118.2381
"90" 22.25 118.2822
"91" 22.5 118.3277
"92" 22.75 118.3748
"93" 23 118.4233
"94" 23.25 118.4736
"95" 23.5 118.5254
"96" 23.75 118.5787
"97" 24 118.6334
"98" 24.25 118.6898
"99" 24.5 118.7475
"100" 24.75 118.8068
"101" 25 118.8676
"102" 25.25 118.9299
"103" 25.5 118.9938
"104" 25.75 119.0531
"105" 26 119.0893
"106" 26.25 119.0875
"107" 26.5 119.0735
"108" 26.75 119.0599
"109" 27 119.047
"110" 27.25 119.0346
"111" 27.5 119.023
"112" 27.75 119.0121
"113" 28 119.0018
"114" 28.25 118.9923
"115" 28.5 118.9834
"116" 28.75 118.9755
"117" 29 118.9682
"118" 29.25 118.9618
"119" 29.5 118.9562
"120" 29.75 118.9514
"121" 30 118.9476
"122" 30.25 118.9447
"123" 30.5 118.9429
"124" 30.75 118.942
"125" 31 118.9423
"126" 31.25 118.9437
"127" 31.5 118.9453
"128" 31.75 118.9442
"129" 32 118.9435
"130" 32.25 118.9428
"131" 32.5 118.9427
"132" 32.75 118.9426
"133" 33 118.943
"134" 33.25 118.9437
"135" 33.5 118.9446
"136" 33.75 118.9458
"137" 34 118.9472
"138" 34.25 118.949
"139" 34.5 118.951
"140" 34.75 118.9534
"141" 35 118.9558
"142" 35.25 118.9588
"143" 35.5 118.9621
"144" 35.75 118.9655
"145" 36 118.9692
"146" 36.25 118.9733
"147" 36.5 118.9777
"148" 36.75 118.982
"149" 37 118.9816
"150" 37.25 118.977
"151" 37.5 118.9596
"152" 37.75 118.9319
"153" 38 118.9069
"154" 38.25 118.8862
"155" 38.5 118.8696
"156" 38.75 118.8572
"157" 39 118.849
"158" 39.25 118.845
"159" 39.5 118.8451
"160" 39.75 118.8493
"161" 40 118.8574
"162" 40.25 118.8695
"163" 40.5 118.8852
"164" 40.75 118.9047
"165" 41 118.9277
"166" 41.25 118.954
"167" 41.5 118.9835
"168" 41.75 119.0161
"169" 42 119.0515
"170" 42.25 119.0896
"171" 42.5 119.1302
"172" 42.75 119.173
"173" 43 119.2111
"174" 43.25 119.2472
