"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1291 0.1404 0.1523 0.1625 0.1706 0 0 0 0 0 0 0
"3" 0.5 0.1516 0.1644 0.1784 0.1886 0.194 0 0 0 0 0 0 0
"4" 0.75 0.1779 0.1923 0.209 0.2189 0.2206 0 0 0 0 0 0 0
"5" 1 0.2088 0.2251 0.2449 0.2541 0.2509 0 0 0 0 0 0 0
"6" 1.25 0.245 0.2634 0.2868 0.2949 0.2853 0 0 0 0 0 0 0
"7" 1.5 0.2876 0.3083 0.336 0.3423 0.3244 0 0 0 0 0 0 0
"8" 1.75 0.3375 0.3607 0.3936 0.3972 0.3689 0 0 0 0 0 0 0
"9" 2 0.3961 0.4221 0.461 0.461 0.4195 0 0 0 0 0 0 0
"10" 2.25 0.4648 0.4939 0.54 0.5349 0.4769 0 0 0 0 0 0 0
"11" 2.5 0.5454 0.5779 0.6325 0.6207 0.5423 0 0 0 0 0 0 0
"12" 2.75 0.64 0.6761 0.7408 0.7202 0.6165 0 0 0 0 0 0 0
"13" 3 0.7509 0.7909 0.8676 0.8355 0.7008 0 0 0 0 0 0 0
"14" 3.25 0.8809 0.9253 1.016 0.9692 0.7966 0 0 0 0 0 0 0
"15" 3.5 1.0334 1.0823 1.1897 1.1241 0.9054 0 0 0 0 0 0 0
"16" 3.75 1.2121 1.2659 1.393 1.3037 1.0289 0 0 0 0 0 0 0
"17" 4 1.4214 1.4805 1.6309 1.5116 1.1692 0 0 0 0 0 0 0
"18" 4.25 1.6667 1.7312 1.9091 1.7524 1.3283 0 0 0 0 0 0 0
"19" 4.5 1.954 2.024 2.2345 2.0311 1.5089 0 0 0 0 0 0 0
"20" 4.75 2.2901 2.366 2.6149 2.3534 1.7136 0 0 0 0 0 0 0
"21" 5 2.6834 2.7651 3.0595 2.7259 1.9455 0 0 0 0 0 0 0
"22" 5.25 3.1432 3.2306 3.5787 3.1562 2.2081 0 0 0 0 0 0 0
"23" 5.5 3.6804 3.7734 4.1848 3.6526 2.5053 0 0 0 0 0 0 0
"24" 5.75 4.3072 4.4056 4.8918 4.2247 2.841 0 0 0 0 0 0 0
