"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"1" 0 0.11 0.12 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.2 0.21 0.22 6 10 14 4 9
"2" 0.25 0.1276 0.1458 0.1574 0.1692 0.18 0.1895 0.202 0.2109 0.2263 0.2324 0.2516 0.2641 5.9522 9.9448 13.9358 3.9738 8.9616
"3" 0.5 0.1479 0.1771 0.1905 0.2044 0.216 0.2244 0.2399 0.247 0.2695 0.2701 0.3013 0.317 5.8983 9.8824 13.8635 3.9443 8.9183
"4" 0.75 0.1715 0.2151 0.2305 0.2469 0.2591 0.2658 0.285 0.2893 0.3209 0.3138 0.3609 0.3804 5.837 9.8112 13.7814 3.9106 8.8691
"5" 1 0.1988 0.2612 0.2789 0.2982 0.3108 0.3147 0.3385 0.3387 0.382 0.3645 0.4322 0.4563 5.7668 9.7292 13.6874 3.872 8.8125
"6" 1.25 0.2304 0.3171 0.3375 0.36 0.3727 0.3725 0.402 0.3966 0.4548 0.4234 0.5174 0.5473 5.686 9.6344 13.579 3.8273 8.7471
"7" 1.5 0.267 0.385 0.4082 0.4345 0.4468 0.4409 0.4773 0.4642 0.5413 0.4916 0.6193 0.6563 5.5923 9.524 13.4535 3.7754 8.6713
"8" 1.75 0.3093 0.4672 0.4937 0.5243 0.5355 0.5217 0.5667 0.5431 0.644 0.5707 0.741 0.7866 5.4832 9.3951 13.3075 3.715 8.5828
"9" 2 0.3583 0.5669 0.597 0.6323 0.6416 0.6171 0.6728 0.6352 0.7661 0.6623 0.8864 0.9425 5.3559 9.2439 13.137 3.6442 8.4792
"10" 2.25 0.4148 0.6876 0.7216 0.7623 0.7683 0.7297 0.7986 0.7427 0.911 0.7684 1.0599 1.1287 5.2069 9.0663 12.9375 3.5611 8.3578
"11" 2.5 0.4801 0.8337 0.8719 0.9183 0.9196 0.8625 0.9478 0.8678 1.0828 0.8911 1.2666 1.3507 5.0321 8.8572 12.7036 3.4636 8.215
"12" 2.75 0.5554 1.0103 1.0531 1.1055 1.1 1.0188 1.1245 1.0134 1.2863 1.0327 1.5128 1.6152 4.8271 8.6108 12.429 3.3488 8.047
"13" 3 0.642 1.2235 1.2711 1.3295 1.3146 1.2023 1.3337 1.1824 1.5272 1.196 1.8053 1.9296 4.5864 8.3204 12.1067 3.2139 7.8492
"14" 3.25 0.7416 1.4805 1.5332 1.597 1.5695 1.4175 1.5813 1.378 1.8116 1.3839 2.1521 2.3024 4.3041 7.9783 11.7284 3.0553 7.6164
"15" 3.5 0.8557 1.7892 1.8476 1.9153 1.8713 1.6687 1.8739 1.6036 2.1467 1.5995 2.5621 2.7427 3.9736 7.5761 11.2852 2.8692 7.3429
"16" 3.75 0.9861 2.1584 2.2236 2.2923 2.2271 1.9608 2.2193 1.8625 2.5402 1.8459 3.0443 3.2604 3.5877 7.1043 10.7672 2.6516 7.0221
"17" 4 1.1342 2.5972 2.6703 2.7359 2.6442 2.2978 2.6264 2.1573 3.0001 2.1259 3.6079 3.8651 3.1397 6.5537 10.1648 2.3984 6.6475
"18" 4.25 1.3006 3.1134 3.1962 3.2529 3.129 2.682 3.1051 2.4885 3.5339 2.4415 4.2592 4.5641 2.6242 5.916 9.47 2.1063 6.2131
"19" 4.5 1.4834 3.71 3.8053 3.8465 3.6851 3.1111 3.664 2.8523 4.1467 2.7926 4.9971 5.3597 2.0406 5.1882 8.6802 1.7749 5.7158
"20" 4.75 1.6756 4.3748 4.4881 4.5113 4.3089 3.5698 4.2968 3.2335 4.8374 3.1748 5.8003 6.2422 1.4025 4.3824 7.811 1.4111 5.1628
"21" 5 1.857 5.0499 5.1917 5.2248 4.9821 4.0091 4.9705 3.5875 5.5914 3.575 6.5892 7.1785 0.7592 3.5495 6.9216 1.0409 4.5852
"22" 5.25 1.9729 5.5508 5.7351 5.8758 5.5846 4.2965 5.5478 3.8025 6.3485 3.9632 7.1351 7.9762 0.2633 2.8631 6.2074 0.7509 4.0977
"23" 5.5 1.9785 5.6854 5.9076 6.1575 5.8432 4.325 5.8108 3.8 6.8148 4.1867 7.2321 8.2588 0.1084 2.5959 5.9515 0.6572 3.8955
"24" 5.75 1.9454 5.6776 5.9284 6.268 5.9436 4.2626 5.9231 3.725 7.1071 4.3085 7.1648 8.323 0.094 2.5131 5.893 0.6446 3.823
"25" 6 1.9091 5.6557 5.9338 6.3616 6.0282 4.1926 6.0204 3.6448 7.3881 4.421 7.0824 8.3649 0.0927 2.4471 5.8531 0.6395 3.7629
"26" 6.25 1.873 5.6319 5.9368 6.4536 6.1112 4.1225 6.1165 3.5654 7.6763 4.5345 6.9986 8.4036 0.0922 2.3812 5.8143 0.6348 3.7031
"27" 6.5 1.8372 5.6067 5.9383 6.5449 6.1935 4.0527 6.2123 3.487 7.9731 4.6494 6.9143 8.4401 0.0917 2.3144 5.7756 0.6302 3.6431
"28" 6.75 1.8017 5.5802 5.9382 6.6354 6.2751 3.9833 6.3077 3.4098 8.2786 4.7659 6.8294 8.4743 0.0912 2.2466 5.7368 0.6255 3.5828
"29" 7 1.7666 5.5524 5.9365 6.7252 6.3557 3.9143 6.4027 3.3336 8.5929 4.8838 6.7441 8.5064 0.0907 2.1779 5.6981 0.6208 3.5222
"30" 7.25 1.7318 5.5233 5.9332 6.814 6.4355 3.8457 6.4971 3.2585 8.916 5.003 6.6583 8.5361 0.0901 2.1082 5.6594 0.6161 3.4613
"31" 7.5 1.6974 5.493 5.9283 6.9018 6.5142 3.7775 6.591 3.1845 9.2482 5.1236 6.572 8.5635 0.0896 2.0375 5.6209 0.6114 3.4002
"32" 7.75 1.6633 5.4614 5.9217 6.9886 6.5919 3.7097 6.6841 3.1116 9.5893 5.2455 6.4855 8.5885 0.0891 1.9658 5.5824 0.6067 3.3389
"33" 8 1.6296 5.4286 5.9136 7.0742 6.6685 3.6423 6.7765 3.0398 9.9396 5.3686 6.3986 8.6112 0.0886 1.8932 5.544 0.6019 3.2773
"34" 8.25 1.5962 5.3946 5.9039 7.1587 6.7438 3.5755 6.8681 2.9691 10.2991 5.4929 6.3114 8.6314 0.0881 1.8196 5.5059 0.5972 3.2156
"35" 8.5 1.5633 5.3594 5.8925 7.2418 6.8179 3.5091 6.9588 2.8994 10.6679 5.6183 6.2239 8.6492 0.0876 1.745 5.4678 0.5924 3.1537
"36" 8.75 1.5307 5.3231 5.8796 7.3235 6.8907 3.4432 7.0485 2.8309 11.0459 5.7447 6.1362 8.6645 0.0871 1.6695 5.43 0.5876 3.0917
"37" 9 1.4985 5.2856 5.8651 7.4039 6.962 3.3779 7.1372 2.7635 11.4334 5.8721 6.0484 8.6774 0.0865 1.593 5.3925 0.5828 3.0295
"38" 9.25 1.4666 5.247 5.849 7.4827 7.0319 3.3131 7.2247 2.6971 11.8302 6.0005 5.9605 8.6877 0.086 1.5156 5.3551 0.578 2.9673
"39" 9.5 1.4352 5.2074 5.8313 7.5599 7.1003 3.2488 7.3111 2.6319 12.2364 6.1297 5.8724 8.6956 0.0855 1.4372 5.3181 0.5732 2.9049
"40" 9.75 1.4041 5.1667 5.8122 7.6356 7.1671 3.1851 7.3962 2.5677 12.6521 6.2598 5.7844 8.7009 0.085 1.3579 5.2813 0.5683 2.8425
"41" 10 1.3735 5.125 5.7914 7.7095 7.2322 3.122 7.48 2.5047 13.0773 6.3905 5.6963 8.7038 0.0845 1.2776 5.2448 0.5635 2.7801
"42" 10.25 1.3433 5.0823 5.7692 7.7817 7.2957 3.0596 7.5624 2.4427 13.512 6.5219 5.6084 8.7042 0.084 1.1964 5.2087 0.5586 2.7176
"43" 10.5 1.3134 5.0386 5.7455 7.852 7.3575 2.9977 7.6433 2.3818 13.9562 6.654 5.5205 8.702 0.0835 1.1142 5.173 0.5537 2.6551
"44" 10.75 1.284 4.9941 5.7204 7.9205 7.4175 2.9365 7.7228 2.322 14.41 6.7865 5.4327 8.6974 0.083 1.0311 5.1376 0.5488 2.5927
"45" 11 1.255 4.9487 5.6938 7.9871 7.4757 2.876 7.8006 2.2633 14.8732 6.9196 5.3451 8.6904 0.0825 0.9471 5.1027 0.5438 2.5302
"46" 11.25 1.2264 4.9024 5.6658 8.0518 7.532 2.8161 7.8769 2.2056 15.3459 7.053 5.2578 8.6808 0.082 0.8622 5.0681 0.5389 2.4678
"47" 11.5 1.1982 4.8553 5.6364 8.1144 7.5865 2.7569 7.9515 2.149 15.8281 7.1867 5.1707 8.6689 0.0815 0.7764 5.034 0.5339 2.4055
"48" 11.75 1.1705 4.8075 5.6057 8.175 7.639 2.6984 8.0244 2.0935 16.3198 7.3207 5.0839 8.6545 0.0811 0.6896 5.0004 0.5289 2.3432
"49" 12 1.1431 4.759 5.5737 8.2335 7.6895 2.6406 8.0955 2.0391 16.8208 7.4549 4.9975 8.6378 0.0806 0.602 4.9672 0.5238 2.281
"50" 12.25 1.1162 4.7098 5.5405 8.2898 7.738 2.5835 8.1649 1.9857 17.3313 7.5892 4.9115 8.6187 0.0801 0.5135 4.9345 0.5187 2.219
"51" 12.5 1.0898 4.6599 5.5059 8.3441 7.7846 2.5271 8.2323 1.9334 17.8511 7.7236 4.8259 8.5973 0.0797 0.4241 4.9023 0.5136 2.157
