"time" "N1" "N2" "N3"
"1" 0 0.11 0.12 0.13
"2" 0.25 0.1297 0.1415 0.1533
"3" 0.5 0.1529 0.1668 0.1807
"4" 0.75 0.1803 0.1967 0.2131
"5" 1 0.2126 0.2319 0.2512
"6" 1.25 0.2506 0.2734 0.2962
"7" 1.5 0.2955 0.3223 0.3492
"8" 1.75 0.3483 0.38 0.4116
"9" 2 0.4106 0.4479 0.4852
"10" 2.25 0.4839 0.5279 0.5719
"11" 2.5 0.5703 0.6221 0.674
"12" 2.75 0.6721 0.7332 0.7943
"13" 3 0.7919 0.8639 0.9359
"14" 3.25 0.9329 1.0177 1.1027
"15" 3.5 1.0989 1.1988 1.2989
"16" 3.75 1.2941 1.4118 1.5297
"17" 4 1.5237 1.6622 1.8011
"18" 4.25 1.7934 1.9564 2.12
"19" 4.5 2.1101 2.3019 2.4946
"20" 4.75 2.4817 2.7073 2.9341
"21" 5 2.9172 3.1824 3.4493
"22" 5.25 3.4269 3.7384 4.0525
"23" 5.5 4.0224 4.3881 4.7575
"24" 5.75 4.7168 5.1456 5.5799
"25" 6 5.5243 6.0264 6.5366
"26" 6.25 6.4596 7.0468 7.6458
"27" 6.5 7.5378 8.223 8.9257
"28" 6.75 8.772 9.5693 10.393
"29" 7 10.1702 11.0945 12.0593
"30" 7.25 11.7295 12.7952 13.9248
"31" 7.5 13.4242 14.6432 15.9666
"32" 7.75 15.1835 16.5603 18.117
"33" 8 16.8545 18.3764 20.2311
"34" 8.25 18.1738 19.7896 22.0742
"35" 8.5 18.9042 20.4976 23.2653
"36" 8.75 19.1865 20.6152 23.7551
"37" 9 19.3324 20.4844 23.9251
"38" 9.25 19.4906 20.2743 23.9863
"39" 9.5 19.7051 20.029 23.9955
"40" 9.75 19.991 19.7568 23.9623
"41" 10 20.3584 19.4578 23.8849
"42" 10.25 20.8171 19.1299 23.7587
"43" 10.5 21.3778 18.7706 23.578
"44" 10.75 22.0531 18.3767 23.336
"45" 11 22.8026 17.9495 23.0323
"46" 11.25 23.456 17.5287 22.7272
"47" 11.5 24.021 17.1385 22.4587
"48" 11.75 24.5115 16.7801 22.2301
"49" 12 24.9391 16.4504 22.0379
"50" 12.25 25.3142 16.1456 21.8771
"51" 12.5 25.6459 15.8619 21.7427
"52" 12.75 25.9423 15.5961 21.6302
"53" 13 26.2098 15.3452 21.5357
"54" 13.25 26.4557 15.1093 21.44
"55" 13.5 26.687 14.8942 21.333
"56" 13.75 26.9048 14.7033 21.216
"57" 14 27.1085 14.5391 21.0888
"58" 14.25 27.2968 14.4036 20.9511
"59" 14.5 27.4684 14.299 20.8026
"60" 14.75 27.6218 14.2276 20.6426
"61" 15 27.7556 14.1915 20.4708
"62" 15.25 27.8683 14.1934 20.2869
"63" 15.5 27.9582 14.2357 20.0902
"64" 15.75 28.0236 14.3213 19.8803
"65" 16 28.0626 14.4533 19.6567
"66" 16.25 28.0731 14.6351 19.4187
"67" 16.5 28.0528 14.8707 19.1657
"68" 16.75 27.9992 15.1646 18.8968
"69" 17 27.9092 15.5216 18.6111
"70" 17.25 27.7796 15.9478 18.3074
"71" 17.5 27.6065 16.4498 17.9844
"72" 17.75 27.3854 17.0355 17.6406
"73" 18 27.1113 17.7138 17.2741
"74" 18.25 26.7787 18.4897 16.8831
"75" 18.5 26.4057 19.2882 16.4779
"76" 18.75 26.0175 20.0967 16.072
"77" 19 25.6184 20.9176 15.6677
"78" 19.25 25.2093 21.75 15.2655
"79" 19.5 24.7912 22.5926 14.866
"80" 19.75 24.3646 23.4442 14.4694
"81" 20 23.9305 24.3033 14.0762
"82" 20.25 23.4897 25.1685 13.6867
"83" 20.5 23.043 26.0385 13.3014
"84" 20.75 22.5961 26.8756 12.9229
"85" 21 22.1978 27.5554 12.5737
"86" 21.25 21.8725 28.1026 12.2645
"87" 21.5 21.6137 28.5466 11.9912
"88" 21.75 21.4096 28.9107 11.7477
"89" 22 21.249 29.2136 11.5281
"90" 22.25 21.1222 29.4701 11.3274
"91" 22.5 20.9963 29.6945 11.1449
"92" 22.75 20.8587 29.8998 10.9858
"93" 23 20.7117 30.0892 10.8526
"94" 23.25 20.5557 30.2628 10.7465
"95" 23.5 20.3908 30.4201 10.6684
"96" 23.75 20.2171 30.5603 10.6193
"97" 24 20.0345 30.6828 10.6001
"98" 24.25 19.8431 30.7868 10.6121
"99" 24.5 19.6427 30.8715 10.6563
"100" 24.75 19.4334 30.9361 10.7342
"101" 25 19.215 30.9794 10.8474
"102" 25.25 18.9873 31.0004 10.9978
"103" 25.5 18.7501 30.9978 11.1873
"104" 25.75 18.503 30.9699 11.4187
"105" 26 18.2456 30.9152 11.6947
"106" 26.25 17.9775 30.8316 12.0188
"107" 26.5 17.6979 30.7167 12.3948
"108" 26.75 17.4062 30.568 12.8275
"109" 27 17.1014 30.3822 13.322
"110" 27.25 16.7823 30.1558 13.8846
"111" 27.5 16.4478 29.8846 14.5225
"112" 27.75 16.0979 29.5675 15.2232
"113" 28 15.7426 29.2251 15.9389
"114" 28.25 15.3869 28.8679 16.6718
"115" 28.5 15.0315 28.4975 17.4218
"116" 28.75 14.6767 28.1144 18.1882
"117" 29 14.3229 27.7193 18.9701
"118" 29.25 13.9705 27.3127 19.7662
"119" 29.5 13.6197 26.8953 20.5755
"120" 29.75 13.2709 26.4678 21.3968
"121" 30 12.9245 26.0309 22.2288
"122" 30.25 12.5806 25.5855 23.0702
"123" 30.5 12.2398 25.1323 23.9197
"124" 30.75 11.9023 24.6722 24.7759
"125" 31 11.5684 24.206 25.6375
"126" 31.25 11.2384 23.7346 26.5031
"127" 31.5 10.9127 23.2588 27.3713
"128" 31.75 10.5914 22.7796 28.2408
"129" 32 10.276 22.3004 29.0843
"130" 32.25 9.9858 21.8738 29.7469
"131" 32.5 9.7333 21.5348 30.2553
"132" 32.75 9.5142 21.2738 30.6519
"133" 33 9.3216 21.0746 30.9666
"134" 33.25 9.1495 20.9225 31.2215
"135" 33.5 8.9951 20.7841 31.4353
"136" 33.75 8.8626 20.6333 31.627
"137" 34 8.754 20.4741 31.8026
"138" 34.25 8.67 20.3073 31.963
"139" 34.5 8.611 20.1331 32.1083
"140" 34.75 8.5772 19.9519 32.2381
"141" 35 8.5692 19.7638 32.3522
"142" 35.25 8.5874 19.5689 32.4502
"143" 35.5 8.6325 19.3672 32.5316
"144" 35.75 8.7053 19.159 32.5958
"145" 36 8.8067 18.944 32.6423
"146" 36.25 8.9379 18.7224 32.6703
"147" 36.5 9.1005 18.494 32.6789
"148" 36.75 9.296 18.2586 32.667
"149" 37 9.5266 18.016 32.6335
"150" 37.25 9.7946 17.7659 32.5768
"151" 37.5 10.1027 17.5078 32.4954
"152" 37.75 10.4542 17.2414 32.3873
"153" 38 10.853 16.966 32.2502
"154" 38.25 11.3032 16.6809 32.0816
"155" 38.5 11.8101 16.3852 31.8785
"156" 38.75 12.3793 16.0781 31.6374
"157" 39 13.0074 15.7589 31.356
"158" 39.25 13.6556 15.4342 31.0486
"159" 39.5 14.3229 15.1084 30.7252
"160" 39.75 15.0096 14.7821 30.3872
"161" 40 15.7151 14.4559 30.0353
"162" 40.25 16.4389 14.1298 29.6696
"163" 40.5 17.1801 13.8041 29.2907
"164" 40.75 17.9379 13.4791 28.8991
"165" 41 18.7113 13.1551 28.4952
"166" 41.25 19.4993 12.8323 28.0797
"167" 41.5 20.3007 12.5111 27.6532
"168" 41.75 21.1146 12.1917 27.2165
"169" 42 21.9394 11.8745 26.7702
"170" 42.25 22.7742 11.5597 26.3152
"171" 42.5 23.6174 11.2477 25.8522
"172" 42.75 24.4679 10.9387 25.3821
"173" 43 25.3242 10.6329 24.9057
"174" 43.25 26.185 10.3308 24.424
"175" 43.5 27.049 10.0325 23.9376
"176" 43.75 27.9147 9.7382 23.4477
"177" 44 28.781 9.4483 22.9549
"178" 44.25 29.6464 9.1629 22.4601
"179" 44.5 30.4302 8.8866 21.9774
"180" 44.75 31.0107 8.6413 21.5743
"181" 45 31.4486 8.4307 21.2641
"182" 45.25 31.7859 8.2487 21.0301
"183" 45.5 32.0513 8.0886 20.8543
"184" 45.75 32.2664 7.9458 20.7099
"185" 46 32.4542 7.8226 20.5548
"186" 46.25 32.6254 7.7218 20.3913
"187" 46.5 32.782 7.6438 20.2209
"188" 46.75 32.9244 7.5887 20.0441
"189" 47 33.0526 7.5565 19.8611
"190" 47.25 33.1662 7.5476 19.6721
"191" 47.5 33.2652 7.5621 19.4774
"192" 47.75 33.3493 7.6003 19.277
"193" 48 33.4181 7.663 19.0711
"194" 48.25 33.4711 7.7506 18.8598
"195" 48.5 33.5078 7.8642 18.6429
"196" 48.75 33.5275 8.0047 18.4206
"197" 49 33.5293 8.1736 18.1926
"198" 49.25 33.5124 8.3723 17.9589
"199" 49.5 33.4756 8.6028 17.7192
"200" 49.75 33.4175 8.8673 17.4732
"201" 50 33.3367 9.1683 17.2206
"202" 50.25 33.2312 9.5088 16.9609
"203" 50.5 33.0991 9.8922 16.6937
"204" 50.75 32.938 10.3226 16.4181
"205" 51 32.7451 10.8044 16.1336
"206" 51.25 32.5173 11.343 15.8393
"207" 51.5 32.2528 11.9338 15.5348
"208" 51.75 31.9645 12.5446 15.2258
"209" 52 31.6601 13.1754 14.9157
"210" 52.25 31.341 13.8263 14.6049
"211" 52.5 31.0073 14.4969 14.2938
"212" 52.75 30.6594 15.1868 13.9826
"213" 53 30.2975 15.8953 13.6714
